우선순위점수,업종,업체명,주소,네이버플레이스,홈페이지,반응형,발견된문제,추천패키지,전화,이메일,카카오톡,카카오오픈채팅,인스타그램,네이버예약,TM스크립트,문자템플릿,신규여부,수집일시
20,피부과,리원피부과의원 강남,"서울특별시 강남구 신사동 652-16 SGF청담타워 2층, 3층 리원피부과",https://map.naver.com/v5/search/%EB%A6%AC%EC%9B%90%ED%94%BC%EB%B6%80%EA%B3%BC%EC%9D%98%EC%9B%90%20%EA%B0%95%EB%82%A8%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99%20652-16%20SGF%EC%B2%AD%EB%8B%B4%ED%83%80%EC%9B%8C%202%EC%B8%B5%2C%203%EC%B8%B5%20%EB%A6%AC%EC%9B%90%ED%94%BC%EB%B6%80%EA%B3%BC,http://www.reoneskin.com/,Y,전화버튼 없음,스타터팩 (10~12만원),02.543.0210 / 02.545.0210,,https://pf.kakao.com/_cZNNd,,https://instagram.com/reone__dermatology,,"안녕하세요 대표님. 리원피부과의원 강남 홈페이지 모바일에서 확인해보니 전화버튼 없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선 안내] 리원피부과의원 강남 대표님, 모바일에서 전화버튼 없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후 비교 시안 무료 제공. 문의: 010-XXXX-XXXX",Y,2026-03-06 17:56:59
10,성형외과,미플러스성형외과의원,서울특별시 강남구 신사동 570-5 5층,https://map.naver.com/v5/search/%EB%AF%B8%ED%94%8C%EB%9F%AC%EC%8A%A4%EC%84%B1%ED%98%95%EC%99%B8%EA%B3%BC%EC%9D%98%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99%20570-5%205%EC%B8%B5,https://miplusclinic.com,Y,지도 없음,스타터팩 (10~12만원),1800-9356 / 02.511.2970 / 02-511-2970 / 02-511-2973,,https://pf.kakao.com/_WfTpj,,https://instagram.com/miplusclinic,,"안녕하세요 대표님. 미플러스성형외과의원 홈페이지 모바일에서 확인해보니 지도 없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선 안내] 미플러스성형외과의원 대표님, 모바일에서 지도 없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후 비교 시안 무료 제공. 문의: 010-XXXX-XXXX",Y,2026-03-06 17:56:34
10,피부과,맥스웰피부과의원 종로점,서울특별시 종로구 청진동 70 그랑서울 6층,https://map.naver.com/v5/search/%EB%A7%A5%EC%8A%A4%EC%9B%B0%ED%94%BC%EB%B6%80%EA%B3%BC%EC%9D%98%EC%9B%90%20%EC%A2%85%EB%A1%9C%EC%A0%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%EC%B2%AD%EC%A7%84%EB%8F%99%2070%20%EA%B7%B8%EB%9E%91%EC%84%9C%EC%9A%B8%206%EC%B8%B5,https://jongno.maxwellhair.com/,Y,지도 없음,스타터팩 (10~12만원),019080601 / 02-6930-5824,,,,https://instagram.com/maxwell_hair,,"안녕하세요 대표님. 맥스웰피부과의원 종로점 홈페이지 모바일에서 확인해보니 지도 없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선 안내] 맥스웰피부과의원 종로점 대표님, 모바일에서 지도 없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후 비교 시안 무료 제공. 문의: 010-XXXX-XXXX",Y,2026-03-06 17:56:44
10,치과,플란치과의원 서울점,서울특별시 강남구 신사동 514-2 15층,https://map.naver.com/v5/search/%ED%94%8C%EB%9E%80%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90%20%EC%84%9C%EC%9A%B8%EC%A0%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99%20514-2%2015%EC%B8%B5,https://implan.co.kr/,Y,지도 없음,스타터팩 (10~12만원),1522-2875 / 0250714-1021 / 019080601 / 05024000001,,https://pf.kakao.com/_eqFxis,,,,"안녕하세요 대표님. 플란치과의원 서울점 홈페이지 모바일에서 확인해보니 지도 없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선 안내] 플란치과의원 서울점 대표님, 모바일에서 지도 없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후 비교 시안 무료 제공. 문의: 010-XXXX-XXXX",Y,2026-03-06 17:57:17
,성형외과,포에버성형외과의원 강남,서울특별시 강남구 논현동 66-24 파티오나인 5층,https://map.naver.com/v5/search/%ED%8F%AC%EC%97%90%EB%B2%84%EC%84%B1%ED%98%95%EC%99%B8%EA%B3%BC%EC%9D%98%EC%9B%90%20%EA%B0%95%EB%82%A8%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%2066-24%20%ED%8C%8C%ED%8B%B0%EC%98%A4%EB%82%98%EC%9D%B8%205%EC%B8%B5,https://gn.4-ever.co.kr,확인불가,사이트접속불가,스타터팩 (10~12만원),,,,,,,"안녕하세요 대표님. 포에버성형외과의원 강남 홈페이지 모바일에서 확인해보니 사이트접속불가 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선 안내] 포에버성형외과의원 강남 대표님, 모바일에서 사이트접속불가 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후 비교 시안 무료 제공. 문의: 010-XXXX-XXXX",Y,2026-03-06 17:56:32
,성형외과,세미성형외과의원,서울특별시 강남구 신사동 585-1 네오스빌딩 5층,https://map.naver.com/v5/search/%EC%84%B8%EB%AF%B8%EC%84%B1%ED%98%95%EC%99%B8%EA%B3%BC%EC%9D%98%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99%20585-1%20%EB%84%A4%EC%98%A4%EC%8A%A4%EB%B9%8C%EB%94%A9%205%EC%B8%B5,http://www.semips.co.kr/,확인불가,사이트접속불가,스타터팩 (10~12만원),,,,,,,"안녕하세요 대표님. 세미성형외과의원 홈페이지 모바일에서 확인해보니 사이트접속불가 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선 안내] 세미성형외과의원 대표님, 모바일에서 사이트접속불가 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후 비교 시안 무료 제공. 문의: 010-XXXX-XXXX",Y,2026-03-06 17:56:35
,성형외과,바노바기성형외과의원,서울특별시 강남구 역삼동 641-9,https://map.naver.com/v5/search/%EB%B0%94%EB%85%B8%EB%B0%94%EA%B8%B0%EC%84%B1%ED%98%95%EC%99%B8%EA%B3%BC%EC%9D%98%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99%20641-9,http://www.banobagi.com/,Y,,스타터팩 (10~12만원),1588-6508 / 05170135165 / 05281748429 / 05281748430 / 05170135316 / 06170135318 / 04170135314 / 02170135311 / 03170135309 / 01175081460 / 01170135305 / 09170135324 / 08170135322 / 07170135320 / 02175081461 / 01170135407 / 08170135405 / 04170135402 / 06170135400 / 06170135394 / 07170135392 / 08170135384 / 09170135380 / 02281677575 / 04165725384 / 04165725409 / 06165725389 / 06165725414 / 07165725390 / 07165725417 / 05311717115 / 08165725418 / 01166384331 / 09410.5035 / 09410.5034 / 02-562-6001 / 010-1234-1234 / 01012341234 / 01066791115 / 06084399811 / 019080601,,https://pf.kakao.com/_bCMxfE,,https://instagram.com/banobagi15886508 / https://instagram.com/banobagi_ps,,,,Y,2026-03-06 17:56:38
,성형외과,나나성형외과의원,서울특별시 강남구 청담동 78-14 나나성형외과,https://map.naver.com/v5/search/%EB%82%98%EB%82%98%EC%84%B1%ED%98%95%EC%99%B8%EA%B3%BC%EC%9D%98%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%B2%AD%EB%8B%B4%EB%8F%99%2078-14%20%EB%82%98%EB%82%98%EC%84%B1%ED%98%95%EC%99%B8%EA%B3%BC,https://www.nanaprs.com,Y,,스타터팩 (10~12만원),07080881741 / 09465887019 / 00368838430 / 010214722 / 025011001 / 02-1234-5678 / 02-544-0601 / 04121642591 / 019080601,swiper-bundle@11.min.css / swiper-bundle@11.min.js,https://pf.kakao.com/_ZxgKUC,,https://instagram.com/nana_afters / https://instagram.com/nanaprs,,,,Y,2026-03-06 17:56:40
,치과,서울새봄플란트치과의원,서울특별시 종로구 세종로 211 15층 1501호,https://map.naver.com/v5/search/%EC%84%9C%EC%9A%B8%EC%83%88%EB%B4%84%ED%94%8C%EB%9E%80%ED%8A%B8%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%EC%84%B8%EC%A2%85%EB%A1%9C%20211%2015%EC%B8%B5%201501%ED%98%B8,http://saebomdc.co.kr/,확인불가,사이트접속불가,스타터팩 (10~12만원),,,,,,,"안녕하세요 대표님. 서울새봄플란트치과의원 홈페이지 모바일에서 확인해보니 사이트접속불가 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선 안내] 서울새봄플란트치과의원 대표님, 모바일에서 사이트접속불가 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후 비교 시안 무료 제공. 문의: 010-XXXX-XXXX",Y,2026-03-06 17:57:05
,치과,강남새로치과의원,서울특별시 강남구 역삼동 815-4 7층,https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EC%83%88%EB%A1%9C%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99%20815-4%207%EC%B8%B5,http://saerodental.com,Y,,스타터팩 (10~12만원),02.6956.8522 / 0734060634 / 02424167632 / 00850427891 / 02-6956-8522 / 02603070257,,https://pf.kakao.com/_apQxixj,,https://instagram.com/gangnamsaero,,,,Y,2026-03-06 17:57:11
,치과,덴티크치과의원 강남,서울특별시 강남구 논현동 192-15 휴먼스페이스빌 1층,https://map.naver.com/v5/search/%EB%8D%B4%ED%8B%B0%ED%81%AC%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90%20%EA%B0%95%EB%82%A8%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%20192-15%20%ED%9C%B4%EB%A8%BC%EC%8A%A4%ED%8E%98%EC%9D%B4%EC%8A%A4%EB%B9%8C%201%EC%B8%B5,http://dtqdental.com,Y,,스타터팩 (10~12만원),02-6953-2828 / 0269532828,,https://pf.kakao.com/_zHPxin,,https://instagram.com/dentique__dental__clinic,https://booking.naver.com/booking/13/bizes/1447042?theme=place&lang=ko&area=pll,,,Y,2026-03-06 17:57:14
100,분양사무소,공장펜테리움공인중개사사무소,경기도 성남시 중원구 상대원동 333-7 지층 122-1호,https://map.naver.com/v5/search/%EA%B3%B5%EC%9E%A5%ED%8E%9C%ED%85%8C%EB%A6%AC%EC%9B%80%EA%B3%B5%EC%9D%B8%EC%A4%91%EA%B0%9C%EC%82%AC%EC%82%AC%EB%AC%B4%EC%86%8C%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%84%B1%EB%82%A8%EC%8B%9C%20%EC%A4%91%EC%9B%90%EA%B5%AC%20%EC%83%81%EB%8C%80%EC%9B%90%EB%8F%99%20333-7%20%EC%A7%80%EC%B8%B5%20122-1%ED%98%B8,http://0317300044.kmswb.kr/,N,비반응형(모바일X) / 전화버튼없음 / 카톡버튼없음 / 문의폼없음 / 지도없음 / 로딩느림(4.2초),풀 리뉴얼 라이트 (50~80만원),,,,,,,"안녕하세요 대표님. 공장펜테리움공인중개사사무소 홈페이지 모바일에서 확인해보니 비반응형(모바일X), 전화버튼없음 상태입니다. 풀 리뉴얼 라이트(50~80만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] 공장펜테리움공인중개사사무소 대표님, 모바일에서 비반응형(모바일X), 전화버튼없음 확인됐습니다. 풀 리뉴얼 라이트 50~80만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:14:12
90,정형외과,비비재활의학과의원,서울특별시 용산구 한강로2가 422 B동 2층 230~232호,https://map.naver.com/v5/search/%EB%B9%84%EB%B9%84%EC%9E%AC%ED%99%9C%EC%9D%98%ED%95%99%EA%B3%BC%EC%9D%98%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9A%A9%EC%82%B0%EA%B5%AC%20%ED%95%9C%EA%B0%95%EB%A1%9C2%EA%B0%80%20422%20B%EB%8F%99%202%EC%B8%B5%20230~232%ED%98%B8,http://bbclinic.co.kr,N,비반응형(모바일X) / 전화버튼없음 / 카톡버튼없음 / 문의폼없음 / 지도없음,풀 리뉴얼 라이트 (50~80만원),,,,,,,"안녕하세요 대표님. 비비재활의학과의원 홈페이지 모바일에서 확인해보니 비반응형(모바일X), 전화버튼없음 상태입니다. 풀 리뉴얼 라이트(50~80만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] 비비재활의학과의원 대표님, 모바일에서 비반응형(모바일X), 전화버튼없음 확인됐습니다. 풀 리뉴얼 라이트 50~80만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:13:32
